country_id,code,name,status
15,ISM,Ismayilli,1
15,KAL,Kalbacar,1
15,KUR,Kurdamir,1
15,LA,Lankaran,1
15,LAC,Lacin,1
15,LAN,Lankaran,1
15,LER,Lerik,1
15,MAS,Masalli,1
15,MI,Mingacevir,1
15,NA,Naftalan,1
15,NEF,Neftcala,1
15,OGU,Oguz,1
15,ORD,Ordubad,1
15,QAB,Qabala,1
15,QAX,Qax,1
15,QAZ,Qazax,1
15,QOB,Qobustan,1
15,QBA,Quba,1
15,QBI,Qubadli,1
15,QUS,Qusar,1
15,SA,Saki,1
15,SAT,Saatli,1
15,SAB,Sabirabad,1
15,SAD,Sadarak,1
15,SAH,Sahbuz,1
15,SAK,Saki,1
15,SAL,Salyan,1
15,SM,Sumqayit,1
15,SMI,Samaxi,1
15,SKR,Samkir,1
15,SMX,Samux,1
15,SAR,Sarur,1
15,SIY,Siyazan,1
15,SS,Susa,1
15,SUS,Susa,1
15,TAR,Tartar,1
15,TOV,Tovuz,1
15,UCA,Ucar,1
15,XA,Xankandi,1
15,XAC,Xacmaz,1
15,XAN,Xanlar,1
15,XIZ,Xizi,1
15,XCI,Xocali,1
15,XVD,Xocavand,1
15,YAR,Yardimli,1
15,YEV,Yevlax,1
15,ZAN,Zangilan,1
15,ZAQ,Zaqatala,1
15,ZAR,Zardab,1
15,NX,Naxcivan,1
16,ACK,Acklins,1
16,BER,BerryIslands,1
16,BIM,Bimini,1
16,BLK,BlackPoint,1
16,CAT,CatIsland,1
16,CAB,CentralAbaco,1
16,CAN,CentralAndros,1
16,CEL,CentralEleuthera,1
16,FRE,CityofFreeport,1
16,CRO,CrookedIsland,1
16,EGB,EastGrandBahama,1
16,EXU,Exuma,1
16,GRD,GrandCay,1
16,HAR,HarbourIsland,1
16,HOP,HopeTown,1
16,INA,Inagua,1
16,LNG,LongIsland,1
16,MAN,MangroveCay,1
16,MAY,Mayaguana,1
16,MOO,MooresIsland,1
16,NAB,NorthAbaco,1
16,NAN,NorthAndros,1
16,NEL,NorthEleuthera,1
16,RAG,RaggedIsland,1
16,RUM,RumCay,1
16,SAL,SanSalvador,1
16,SAB,SouthAbaco,1
16,SAN,SouthAndros,1
16,SEL,SouthEleuthera,1
16,SWE,SpanishWells,1
16,WGB,WestGrandBahama,1
17,CAP,Capital,1
17,CEN,Central,1
17,MUH,Muharraq,1
17,NOR,Northern,1
17,SOU,Southern,1
18,BAR,Barisal,1
18,CHI,Chittagong,1
18,DHA,Dhaka,1
18,KHU,Khulna,1
18,RAJ,Rajshahi,1
18,SYL,Sylhet,1
19,CC,ChristChurch,1
19,AND,SaintAndrew,1
19,GEO,SaintGeorge,1
19,JAM,SaintJames,1
19,JOH,SaintJohn,1
19,JOS,SaintJoseph,1
19,LUC,SaintLucy,1
19,MIC,SaintMichael,1
19,PET,SaintPeter,1
19,PHI,SaintPhilip,1
19,THO,SaintThomas,1
20,BR,BrestskayaBrest),1
20,HO,HomyelskayaHomyel),1
20,HM,HoradMinsk,1
20,HR,HrodzyenskayaHrodna),1
20,MA,MahilyowskayaMahilyow),1
20,MI,Minskaya,1
20,VI,VitsyebskayaVitsyebsk),1
21,VAN,Antwerpen,1
21,WBR,BrabantWallon,1
21,WHT,Hainaut,1
21,WLG,Liège,1
21,VLI,Limburg,1
21,WLX,Luxembourg,1
21,WNA,Namur,1
21,VOV,Oost-Vlaanderen,1
21,VBR,VlaamsBrabant,1
21,VWV,West-Vlaanderen,1
22,BZ,Belize,1
22,CY,Cayo,1
22,CR,Corozal,1
22,OW,OrangeWalk,1
22,SC,StannCreek,1
22,TO,Toledo,1
23,AL,Alibori,1
23,AK,Atakora,1
23,AQ,Atlantique,1
23,BO,Borgou,1
23,CO,Collines,1
23,DO,Donga,1
23,KO,Kouffo,1
23,LI,Littoral,1
23,MO,Mono,1
23,OU,Oueme,1
23,PL,Plateau,1
23,ZO,Zou,1
24,DS,Devonshire,1
24,HC,HamiltonCity,1
24,HA,Hamilton,1
24,PG,Paget,1
24,PB,Pembroke,1
24,GC,SaintGeorgeCity,1
24,SG,SaintGeorges,1
24,SA,Sandys,1
24,SM,Smiths,1
24,SH,Southampton,1
24,WA,Warwick,1
25,BUM,Bumthang,1
25,CHU,Chukha,1
25,DAG,Dagana,1
25,GAS,Gasa,1
25,HAA,Haa,1
25,LHU,Lhuntse,1
25,MON,Mongar,1
25,PAR,Paro,1
25,PEM,Pemagatshel,1
25,PUN,Punakha,1
25,SJO,SamdrupJongkhar,1
25,SAT,Samtse,1
25,SAR,Sarpang,1
25,THI,Thimphu,1
25,TRG,Trashigang,1
25,TRY,Trashiyangste,1
25,TRO,Trongsa,1
25,TSI,Tsirang,1
25,WPH,WangduePhodrang,1
25,ZHE,Zhemgang,1
26,BEN,Beni,1
26,CHU,Chuquisaca,1
26,COC,Cochabamba,1
26,LPZ,LaPaz,1
26,ORU,Oruro,1
26,PAN,Pando,1
26,POT,Potosi,1
26,SCZ,SantaCruz,1
26,TAR,Tarija,1
27,BRO,Brckodistrict,1
27,FUS,Unsko-SanskiKanton,1
27,FPO,PosavskiKanton,1
27,FTU,TuzlanskiKanton,1
27,FZE,Zenicko-DobojskiKanton,1
27,FBP,BosanskopodrinjskiKanton,1
27,FSB,SrednjebosanskiKanton,1
27,FHN,Hercegovacko-neretvanskiKanton,1
27,FZH,ZapadnohercegovackaZupanija,1
27,FSA,KantonSarajevo,1
27,FZA,Zapadnobosanska,1
27,SBL,BanjaLuka,1
27,SDO,Doboj,1
27,SBI,Bijeljina,1
27,SVL,Vlasenica,1
27,SSR,Sarajevo-RomanijaorSokolac,1
27,SFO,Foca,1
27,STR,Trebinje,1
28,CE,Central,1
28,GH,Ghanzi,1
28,KD,Kgalagadi,1
28,KT,Kgatleng,1
28,KW,Kweneng,1
28,NG,Ngamiland,1
28,NE,NorthEast,1
28,NW,NorthWest,1
28,SE,SouthEast,1
28,SO,Southern,1
30,AC,Acre,1
30,AL,Alagoas,1
30,AP,Amapá,1
30,AM,Amazonas,1
30,BA,Bahia,1
30,CE,Ceará,1
30,DF,DistritoFederal,1
30,ES,EspíritoSanto,1
30,GO,Goiás,1
30,MA,Maranhão,1
30,MT,MatoGrosso,1
30,MS,MatoGrossodoSul,1
30,MG,MinasGerais,1
30,PA,Pará,1
30,PB,Paraíba,1
30,PR,Paraná,1
30,PE,Pernambuco,1
30,PI,Piauí,1
30,RJ,RiodeJaneiro,1
30,RN,RioGrandedoNorte,1
30,RS,RioGrandedoSul,1
30,RO,Rondônia,1
30,RR,Roraima,1
30,SC,SantaCatarina,1
30,SP,SãoPaulo,1
30,SE,Sergipe,1
30,TO,Tocantins,1
31,PB,PerosBanhos,1
31,SI,SalomonIslands,1
31,NI,NelsonsIsland,1
31,TB,ThreeBrothers,1
31,EA,EagleIslands,1
31,DI,DangerIsland,1
31,EG,EgmontIslands,1
31,DG,DiegoGarcia,1
32,BEL,Belait,1
32,BRM,BruneiandMuara,1
32,TEM,Temburong,1
32,TUT,Tutong,1
33,,Blagoevgrad,1
33,,Burgas,1
33,,Dobrich,1
33,,Gabrovo,1
33,,Haskovo,1
33,,Kardjali,1
33,,Kyustendil,1
33,,Lovech,1
33,,Montana,1
33,,Pazardjik,1
33,,Pernik,1
33,,Pleven,1
